EXTRAGERI,,,,,,,CATEGORIA I,,,CATEGORIA II,,,CATEGORIA III,,,CATEGORIA IV,,
"Du, 7 iulie 2019",8,40,16,4,48,2,REPORT,"441.410,40","3.687.208,80",11,"13.376,07","0,00",454,"324,08","0,00",7.742,"30,00","0,00"
"Jo, 4 iulie 2019",6,40,22,32,31,12,REPORT,"231.724,80","3.245.798,40",3,"25.747,20","0,00",188,"410,85","0,00",3.475,"30,00","0,00"
"Du, 30 iunie 2019",3,47,31,25,22,21,REPORT,"456.379,20","3.014.073,60",3,"50.708,80","0,00",381,"399,28","0,00",7.722,"30,00","0,00"
"Jo, 27 iunie 2019",12,28,5,34,21,16,REPORT,"198.204,00","2.557.694,40",4,"16.517,00","0,00",311,"212,43","0,00",5.066,"30,00","0,00"
"Du, 23 iunie 2019",5,1,11,45,36,8,REPORT,"401.988,00","2.359.490,40",8,"16.749,50","0,00",497,"269,60","0,00",9.259,"30,00","0,00"
"Jo, 20 iunie 2019",14,48,32,11,35,13,REPORT,"216.789,60","1.957.502,40",2,"36.131,60","0,00",188,"384,37","0,00",3.663,"30,00","0,00"
"Du, 16 iunie 2019",22,42,41,30,34,8,REPORT,"452.623,20","1.740.712,80",5,"30.174,88","0,00",300,"502,91","0,00",6.096,"30,00","0,00"
"Jo, 13 iunie 2019",33,46,4,36,32,47,REPORT,"226.760,40","1.288.089,60",4,"18.896,70","0,00",116,"651,61","0,00",3.106,"30,00","0,00"
"Du, 9 iunie 2019",25,30,2,49,15,31,REPORT,"405.273,60","1.061.329,20",8,"16.886,40","0,00",370,"365,11","0,00",6.927,"30,00","0,00"
"Jo, 6 iunie 2019",40,24,37,2,11,12,REPORT,"206.055,60","656.055,60",1,"68.685,20","0,00",204,"336,69","0,00",4.016,"30,00","0,00"
"Du, 2 iunie 2019",18,9,26,34,49,11,1,"2.898.134,80","0,00",11,"12.368,50","0,00",618,"220,15","0,00",9.79,"30,00","0,00"
"Jo, 30 mai 2019",1,13,29,6,3,22,REPORT,"179.745,60","2.489.974,00",9,"6.657,24","0,00",473,"126,67","0,00",6.13,"30,00","0,00"
"Du, 26 mai 2019",16,43,48,14,19,26,REPORT,"432.824,40","2.310.228,40",4,"36.068,70","0,00",427,"337,88","0,00",8.993,"30,00","0,00"
"Jo, 23 mai 2019",5,47,38,39,31,22,REPORT,"236.731,20","1.877.404,00",2,"39.455,20","0,00",190,"415,31","0,00",3.498,"30,00","0,00"
"Du, 19 mai 2019",43,26,15,11,24,25,REPORT,"420.432,00","1.640.672,80",4,"35.036,00","0,00",369,"379,79","0,00",8.585,"30,00","0,00"
"Jo, 16 mai 2019",12,46,42,20,17,2,REPORT,"220.240,80","720.240,80",6,"12.235,60","0,00",182,"403,37","0,00",3.8,"30,00","0,00"
"Du, 12 mai 2019",27,6,11,44,42,24,1,"22.265.937,00","0,00",39,"7.043,28","0,00",917,"299,55","0,00",15.09,"30,00","0,00"
"Jo, 9 mai 2019",13,32,15,43,18,20,REPORT,"300.649,00","21.716.561,00",7,"21.474,92","0,00",374,"401,93","0,00",7.006,"30,00","0,00"
"Du, 5 mai 2019",42,28,13,6,19,48,REPORT,"501.876,00","21.415.912,00",25,"10.037,52","0,00",948,"264,70","0,00",14.82,"30,00","0,00"
"Jo, 2 mai 2019",48,7,34,40,33,46,REPORT,"281.505,00","20.914.036,00",5,"28.150,50","0,00",199,"707,29","0,00",4.558,"30,00","0,00"
"Sb, 27 aprilie 2019",15,8,1,29,5,43,REPORT,"583.065,00","19.834.556,00",10,"29.153,25","0,00",1.002,"290,95","0,00",16.598,"30,00","0,00"
"Du, 21 aprilie 2019",26,23,47,21,35,24,REPORT,"550.882,00","19.251.491,00",9,"30.604,55","0,00",651,"423,10","0,00",12.831,"30,00","0,00"
"Jo, 18 aprilie 2019",8,6,33,31,42,13,REPORT,"291.190,00","18.700.609,00",5,"29.119,00","0,00",406,"358,60","0,00",7.961,"30,00","0,00"
"Du, 14 aprilie 2019",12,44,4,36,31,39,REPORT,"594.834,00","18.409.419,00",6,"49.569,50","0,00",615,"483,60","0,00",11.647,"30,00","0,00"
"Lu, 31 decembrie 2018",11,12,15,30,8,4,REPORT,"2.445.520,80","5.765.878,40",53,"15.380,63","0,00",2.207,"369,35","0,00",30.89,"30,00","0,00"
"Du, 23 decembrie 2018",26,41,24,25,23,36,REPORT,"718.995,60","2.820.357,60",3,"79.888,40","0,00",433,"553,49","0,00",8.843,"30,00","0,00"
"Jo, 20 decembrie 2018",24,44,13,23,32,41,REPORT,"262.183,20","2.001.362,00",4,"21.848,60","0,00",198,"441,38","0,00",4.523,"30,00","0,00"
"Du, 16 decembrie 2018",47,33,34,16,44,27,REPORT,"403.602,00","1.639.178,80",8,"16.816,75","0,00",394,"341,45","0,00",7.849,"30,00","0,00"
"Jo, 13 decembrie 2018",32,41,43,25,1,19,REPORT,"236.584,80","1.135.576,80",1,"78.861,60","0,00",153,"515,43","0,00",3.644,"30,00","0,00"
"Du, 9 decembrie 2018",22,23,24,9,47,33,REPORT,"379.656,00","798.992,00",2,"63.276,00","0,00",340,"372,21","0,00",7.932,"30,00","0,00"
"Jo, 6 decembrie 2018",19,14,7,34,20,41,REPORT,"219.336,00","319.336,00",7,"10.444,57","0,00",223,"327,85","0,00",4.374,"30,00","0,00"
"Du, 2 decembrie 2018",39,46,15,11,7,25,REPORT,"454.633,20","15.957.599,87",15,"10.102,96","0,00",627,"241,69","0,00",10.989,"30,00","0,00"
"Jo, 29 noiembrie 2018",3,12,27,18,9,4,REPORT,"234.306,00","15.502.966,67",28,"2.789,35","0,00",748,"104,41","0,00",9.47,"30,00","0,00"
"Jo, 29 noiembrie 2018",3,12,27,18,9,4,REPORT,"234.306,00","15.502.966,67",28,"2.789,35","0,00",748,"104,41","0,00",9.47,"30,00","0,00"
"Du, 25 noiembrie 2018",22,7,2,40,14,30,REPORT,"550.420,80","15.268.660,67",16,"11.467,10","0,00",665,"275,90","0,00",11.625,"30,00","0,00"
"Jo, 22 noiembrie 2018",20,15,18,7,28,23,REPORT,"263.074,80","14.718.239,87",13,"6.745,50","0,00",513,"170,93","0,00",7.859,"30,00","0,00"
"Du, 18 noiembrie 2018",48,23,15,37,35,28,REPORT,"0,00","13.742.954,67",10,"17.046,08",,745,"228,80",,10.346,"30,00",
"Jo, 15 noiembrie 2018",28,7,48,14,22,17,REPORT,"292.600,80","13.231.572,27",14,"6.966,68","0,00",451,"216,26","0,00",7.318,"30,00","0,00"
"Du, 11 noiembrie 2018",10,23,30,21,7,39,REPORT,"0,00","12.938.971,47",8,"22.500,90",,634,"283,92",,12.105,"30,00",
"Jo, 8 noiembrie 2018",42,19,10,37,21,45,REPORT,"0,00","12.398.949,87",7,"14.907,14",,361,"289,05",,5.906,"30,00",
"Du, 4 noiembrie 2018",40,34,22,36,32,41,REPORT,"583.604,92","12.085.899,87",4,"48.633,74","0,00",269,"723,17","0,00",6.252,"30,00","0,00"
"Jo, 1 noiembrie 2018",34,19,7,43,9,28,REPORT,"245.470,03","11.502.294,95",10,"8.182,33","0,00",439,"186,38","0,00",6.863,"30,00","0,00"
"Du, 28 octombrie 2018",24,10,4,48,33,43,REPORT,"521.695,87","11.256.824,92",9,"19.322,06","0,00",513,"338,98","0,00",10.04,"30,00","0,00"
"Jo, 25 octombrie 2018",42,33,45,5,15,16,REPORT,"253.917,07","10.735.129,05",3,"28.213,00","0,00",261,"324,28","0,00",5.443,"30,00","0,00"
"Du, 21 octombrie 2018",7,6,22,21,43,23,REPORT,"430.804,80","9.834.747,18",8,"17.950,20","0,00",454,"316,30","0,00",10.15,"30,00","0,00"
"Jo, 18 octombrie 2018",34,27,32,10,13,11,REPORT,"251.875,58","9.403.942,38",3,"27.986,17","0,00",357,"235,17","0,00",6.912,"30,00","0,00"
"Du, 14 octombrie 2018",24,45,2,49,19,47,REPORT,"527.455,15","9.152.066,80",7,"25.116,91","0,00",456,"385,56","0,00",9.449,"30,00","0,00"
"Jo, 11 octombrie 2018",6,11,33,19,23,8,REPORT,"195.850,08","8.624.611,65",2,"32.641,68","0,00",461,"141,61","0,00",7.474,"30,00","0,00"
"Du, 7 octombrie 2018",21,12,40,44,33,1,REPORT,"485.847,93","8.428.761,57",6,"26.991,55","0,00",350,"462,71","0,00",7.704,"30,00","0,00"
"Jo, 4 octombrie 2018",34,26,12,32,7,42,REPORT,"230.273,42","7.942.913,64",9,"8.528,64","0,00",295,"260,19","0,00",4.939,"30,00","0,00"
"Du, 30 septembrie 2018",3,5,41,44,38,32,REPORT,"473.524,99","7.712.640,22",3,"52.613,88","0,00",387,"407,85","0,00",7.864,"30,00","0,00"
"Jo, 27 septembrie 2018",29,11,4,45,33,28,REPORT,"223.555,10","7.239.115,23",8,"9.314,79","0,00",301,"247,56","0,00",5.23,"30,00","0,00"
"Du, 23 septembrie 2018",34,23,15,47,4,14,REPORT,"434.735,85","7.015.560,13",6,"24.151,99","0,00",558,"259,69","0,00",10.541,"30,00","0,00"
"Jo, 20 septembrie 2018",42,35,33,39,25,7,REPORT,"240.921,50","6.580.824,28",3,"26.769,05","0,00",222,"361,74","0,00",4.694,"30,00","0,00"
"Du, 16 septembrie 2018",33,22,37,36,42,29,REPORT,"466.819,20","5.726.633,58",2,"77.803,20","0,00",380,"409,49","0,00",7.966,"30,00","0,00"
"Jo, 13 septembrie 2018",42,20,3,34,31,13,REPORT,"238.570,99","5.259.814,38",5,"15.904,73","0,00",259,"307,04","0,00",5.285,"30,00","0,00"
"Du, 9 septembrie 2018",44,16,27,48,9,19,REPORT,"430.223,47","5.021.243,39",9,"15.934,20","0,00",629,"227,99","0,00",11.645,"30,00","0,00"
"Jo, 6 septembrie 2018",48,26,13,28,7,22,REPORT,"215.518,46","4.591.019,92",14,"5.131,39","0,00",459,"156,51","0,00",6.736,"30,00","0,00"
"Du, 2 septembrie 2018",45,43,28,14,18,4,REPORT,"411.322,03","4.375.501,46",5,"27.421,46","0,00",397,"345,35","0,00",8.449,"30,00","0,00"
"Jo, 30 august 2018",29,27,12,25,7,39,REPORT,"201.146,40","3.964.179,43",4,"16.762,20","0,00",348,"192,66","0,00",6.222,"30,00","0,00"
"Du, 26 august 2018",19,43,26,27,14,38,REPORT,"380.177,85","3.763.033,03",25,"5.069,03","0,00",620,"204,39","0,00",10.084,"30,00","0,00"
"Jo, 23 august 2018",37,14,47,28,39,4,REPORT,"223.181,42","3.382.855,18",4,"18.598,45","0,00",211,"352,57","0,00",4.397,"30,00","0,00"
"Du, 19 august 2018",31,15,24,18,33,35,REPORT,"396.454,75","3.159.673,76",8,"16.518,94","0,00",498,"265,36","0,00",8.914,"30,00","0,00"
"Jo, 16 august 2018",5,16,37,32,3,10,REPORT,"229.255,48","2.763.219,01",3,"25.472,83","0,00",285,"268,13","0,00",5.308,"30,00","0,00"
"Du, 12 august 2018",3,23,16,12,10,45,REPORT,"338.706,86","2.533.963,53",26,"4.342,39","0,00",760,"148,55","0,00",11.233,"30,00","0,00"
"Jo, 9 august 2018",41,42,25,28,38,30,REPORT,"224.934,04","2.195.256,67",3,"24.992,67","0,00",117,"640,83","0,00",2.894,"30,00","0,00"
"Du, 5 august 2018",2,31,43,24,40,19,REPORT,"399.988,22","1.970.322,63",7,"19.047,05","0,00",341,"390,99","0,00",6.304,"30,00","0,00"
"Jo, 2 august 2018",21,9,8,22,40,27,REPORT,"183.536,78","1.570.334,41",1,"61.178,92","0,00",185,"330,69","0,00",3.979,"30,00","0,00"
"Du, 29 iulie 2018",38,9,14,45,31,23,REPORT,"372.636,28","1.386.797,63",14,"8.872,29","0,00",402,"308,98","0,00",7.848,"30,00","0,00"
"Jo, 26 iulie 2018",6,12,44,27,4,30,REPORT,"165.602,73","1.014.161,35",4,"13.800,22","0,00",276,"200,00","0,00",4.513,"30,00","0,00"
"Du, 22 iulie 2018",4,48,39,44,24,9,REPORT,"348.558,62","598.558,62",10,"11.618,62","0,00",413,"281,32","0,00",7.142,"30,00","0,00"
"Jo, 19 iulie 2018",23,49,5,2,41,16,1,"9.720.865,12","0,00",6,"13.455,49","0,00",243,"332,23","0,00",5.067,"30,00","0,00"
"Du, 15 iulie 2018",3,29,46,32,23,27,REPORT,"497.101,82","9.478.666,20",8,"31.558,90","0,00",625,"265,12","0,00",11.496,"30,00","0,00"
"Jo, 12 iulie 2018",2,42,29,39,40,44,REPORT,"260.311,82","8.981.564,38",REPORT,"86.770,60","86.770,60",117,"741,62","0,00",2.995,"30,00","0,00"
"Du, 8 iulie 2018",25,36,31,8,7,40,REPORT,"597.427,20","8.721.252,56",12,"16.595,20","0,00",479,"415,74","0,00",9.006,"30,00","0,00"
"Jo, 5 iulie 2018",28,5,44,10,26,38,REPORT,"209.873,95","8.023.825,36",2,"34.978,99","0,00",271,"258,14","0,00",5.006,"30,00","0,00"
"Du, 1 iulie 2018",19,43,20,18,5,11,REPORT,"431.380,94","7.813.951,41",7,"20.541,94","0,00",593,"242,48","0,00",10.967,"30,00","0,00"
"Jo, 28 iunie 2018",49,23,25,24,41,4,REPORT,"234.090,00","7.382.570,47",1,"78.030,00","0,00",131,"595,64","0,00",3.707,"30,00","0,00"
"Du, 24 iunie 2018",24,49,42,3,21,41,REPORT,"476.102,44","7.148.480,47",2,"79.350,40","0,00",304,"522,04","0,00",7.305,"30,00","0,00"
"Jo, 21 iunie 2018",30,31,19,49,17,34,REPORT,"231.939,36","6.672.378,03",3,"25.771,04","0,00",165,"468,56","0,00",3.606,"30,00","0,00"
"Du, 17 iunie 2018",3,19,20,23,17,37,REPORT,"403.196,11","6.440.438,67",19,"7.073,61","0,00",777,"172,97","0,00",12.591,"30,00","0,00"
"Du, 31 decembrie 2017",43,36,2,42,32,28,REPORT,"1.131.627,60","3.836.371,75",4,"94.302,30","0,00",686,"549,86","0,00",14.761,"30,00","0,00"
"Du, 24 decembrie 2017",18,33,17,12,44,28,REPORT,"695.934,72","2.704.744,15",13,"17.844,48","0,00",697,"332,82","0,00",13.126,"30,00","0,00"
"Jo, 21 decembrie 2017",19,46,30,33,36,17,REPORT,"246.045,45","1.908.809,43",5,"45.540,60","0,00",191,"429,39","0,00",4.571,"30,00","0,00"
"Du, 17 decembrie 2017",34,30,47,46,45,26,REPORT,"437.063,61","1.562.763,98",REPORT,"145.687,87","145.687,87",211,"690,46","0,00",5.116,"30,00","0,00"
"Jo, 14 decembrie 2017",40,2,45,13,11,5,REPORT,"185.671,72","1.025.700,37",4,"15.472,64","0,00",220,"281,32","0,00",4.401,"30,00","0,00"
"Du, 10 decembrie 2017",38,49,10,1,46,22,REPORT,"350.981,28","740.028,65",4,"29.248,44","0,00",270,"433,31","0,00",5.846,"30,00","0,00"
"Jo, 7 decembrie 2017",32,14,37,40,47,49,REPORT,"189.047,37","289.047,37",1,"63.015,79","0,00",99,"636,52","0,00",2.207,"30,00","0,00"
"Du, 3 decembrie 2017",42,20,5,4,23,38,1,"6.372.850,87","0,00",6,"27.948,76","0,00",361,"464,52","0,00",7.165,"30,00","0,00"
"Jo, 30 noiembrie 2017",17,15,41,39,45,40,REPORT,"265.990,60","5.769.773,19",1,"88.663,53","0,00",125,"709,30","0,00",3.119,"30,00","0,00"
"Du, 26 noiembrie 2017",37,11,35,27,12,4,REPORT,"372.302,40","5.026.098,19",10,"12.410,08","0,00",460,"269,78","0,00",8.687,"30,00","0,00"
"Jo, 23 noiembrie 2017",30,10,11,45,15,37,REPORT,"216.230,25","4.653.795,79",6,"12.012,79","0,00",253,"284,88","0,00",4.429,"30,00","0,00"
"Du, 19 noiembrie 2017",8,15,30,42,39,35,REPORT,"480.490,99","4.437.565,54",11,"14.560,33","0,00",459,"348,94","0,00",7.901,"30,00","0,00"
"Jo, 16 noiembrie 2017",21,5,44,48,11,49,REPORT,"227.958,19","3.957.074,55",2,"37.993,03","0,00",206,"368,86","0,00",4.449,"30,00","0,00"
"Du, 12 noiembrie 2017",19,12,32,7,33,17,REPORT,"360.911,66","3.729.116,36",15,"8.020,25","0,00",666,"180,63","0,00",12.065,"30,00","0,00"
"Jo, 9 noiembrie 2017",23,47,28,7,39,9,REPORT,"180.403,92","3.368.204,70",3,"20.044,88","0,00",270,"222,72","0,00",4.887,"30,00","0,00"
"Du, 5 noiembrie 2017",13,3,18,12,21,45,REPORT,"350.782,84","3.187.800,78",8,"14.615,95","0,00",639,"182,98","0,00",10.6,"30,00","0,00"
"Jo, 2 noiembrie 2017",49,21,24,28,39,16,REPORT,"193.899,31","2.837.017,94",6,"10.772,18","0,00",173,"373,60","0,00",3.289,"30,00","0,00"
"Du, 29 octombrie 2017",18,37,27,10,44,5,REPORT,"355.200,04","2.643.118,63",12,"9.866,66","0,00",549,"215,66","0,00",9.737,"30,00","0,00"
"Jo, 26 octombrie 2017",10,21,24,22,37,23,REPORT,"198.122,54","2.287.918,59",2,"33.020,42","0,00",195,"338,67","0,00",3.913,"30,00","0,00"
"Du, 22 octombrie 2017",2,28,41,27,26,3,REPORT,"405.647,85","2.089.796,05",6,"22.535,99","0,00",305,"443,33","0,00",6.765,"30,00","0,00"
"Jo, 19 octombrie 2017",8,32,11,19,29,17,REPORT,"161.819,56","1.684.148,20",5,"10.787,97","0,00",278,"194,02","0,00",5.105,"30,00","0,00"
"Du, 15 octombrie 2017",46,22,47,43,27,28,REPORT,"399.567,60","1.070.497,04",3,"63.388,56","0,00",226,"589,33","0,00",5.48,"30,00","0,00"
"Jo, 12 octombrie 2017",44,35,36,19,21,42,REPORT,"170.929,44","670.929,44",REPORT,"56.976,48","56.976,48",142,"401,24","0,00",2.854,"30,00","0,00"
"Du, 8 octombrie 2017",5,15,28,41,32,7,1,"4.604.988,60","0,00",7,"17.559,21","0,00",442,"278,08","0,00",8.301,"30,00","0,00"
"Jo, 5 octombrie 2017",30,6,17,41,4,28,REPORT,"192.536,78","4.236.245,07",6,"10.696,48","0,00",189,"339,57","0,00",3.711,"30,00","0,00"
"Du, 1 octombrie 2017",21,38,7,6,49,13,REPORT,"355.906,80","4.043.708,29",4,"29.658,90","0,00",562,"211,09","0,00",9.789,"30,00","0,00"
"Jo, 28 septembrie 2017",3,6,37,7,48,28,REPORT,"174.972,96","3.687.801,49",4,"14.581,08","0,00",190,"306,97","0,00",4.606,"30,00","0,00"
"Du, 24 septembrie 2017",32,5,4,49,44,12,REPORT,"410.581,00","3.512.828,53",7,"19.551,47","0,00",340,"402,53","0,00",7.075,"30,00","0,00"
"Jo, 21 septembrie 2017",4,32,36,8,1,24,REPORT,"179.836,70","3.102.247,53",8,"7.493,19","0,00",244,"245,67","0,00",4.302,"30,00","0,00"
"Du, 17 septembrie 2017",21,30,39,46,3,9,REPORT,"0,00","2.361.656,83",8,"18.933,50","0,00",505,"299,93","0,00",8.78,"30,00","0,00"
"Du, 10 septembrie 2017",20,25,45,48,37,21,REPORT,"398.956,46","1.907.252,83",6,"22.164,24","0,00",253,"525,63","0,00",5.673,"30,00","0,00"
"Jo, 7 septembrie 2017",15,36,20,24,2,6,REPORT,"160.178,97","1.508.296,37",5,"10.678,59","0,00",264,"202,24","0,00",4.214,"30,00","0,00"
"Du, 3 septembrie 2017",23,24,8,45,40,35,REPORT,"348.117,40","848.117,40",6,"19.339,85","0,00",272,"426,61","0,00",5.574,"30,00","0,00"
"Jo, 31 august 2017",18,11,24,39,12,34,1,"11.906.912,95","0,00",20,"3.899,80","0,00",403,"193,53","0,00",6.714,"30,00","0,00"
"Du, 27 august 2017",48,17,43,2,13,15,REPORT,"487.155,45","11.672.924,76",9,"18.042,79","0,00",537,"302,39","0,00",10.168,"30,00","0,00"
"Jo, 24 august 2017",26,16,37,36,13,22,REPORT,"231.407,28","11.185.769,31",3,"25.711,92","0,00",408,"189,05","0,00",6.689,"30,00","0,00"
"Du, 20 august 2017",48,46,5,30,19,32,REPORT,"522.215,13","10.954.362,03",5,"34.814,34","0,00",388,"448,63","0,00",8.402,"30,00","0,00"
"Jo, 17 august 2017",48,27,29,23,8,20,REPORT,"236.550,24","10.432.146,90",12,"6.570,84","0,00",421,"187,29","0,00",6.282,"30,00","0,00"
"Du, 13 august 2017",38,3,28,31,32,18,REPORT,"501.334,84","10.195.596,66",5,"33.422,32","0,00",434,"385,04","0,00",8.42,"30,00","0,00"
"Jo, 10 august 2017",16,14,7,47,21,27,REPORT,"205.148,16","9.694.261,82",5,"13.676,54","0,00",401,"170,53","0,00",6.048,"30,00","0,00"
"Du, 6 august 2017",25,7,9,37,43,29,REPORT,"366.777,64","9.489.113,66",22,"5.557,23","0,00",759,"161,07","0,00",10.881,"30,00","0,00"
"Jo, 3 august 2017",14,16,44,2,27,9,REPORT,"198.866,88","9.122.336,02",8,"8.286,12","0,00",401,"165,30","0,00",5.724,"30,00","0,00"
"Du, 30 iulie 2017",25,48,28,38,1,24,REPORT,"407.170,51","8.493.122,63",5,"27.144,70","0,00",337,"402,74","0,00",6.431,"30,00","0,00"
"Jo, 27 iulie 2017",47,16,11,38,10,26,REPORT,"235.582,12","8.085.952,12",4,"19.631,84","0,00",212,"370,41","0,00",4.593,"30,00","0,00"
"Du, 23 iulie 2017",4,38,39,11,15,36,REPORT,"454.058,35","7.850.370,00",5,"30.270,55","0,00",333,"454,51","0,00",7.509,"30,00","0,00"
"Jo, 20 iulie 2017",7,14,44,27,45,4,REPORT,"228.594,67","7.396.311,65",6,"12.699,70","0,00",403,"189,07","0,00",6.237,"30,00","0,00"
"Du, 16 iulie 2017",16,15,5,22,7,40,REPORT,"423.248,83","7.167.716,98",12,"11.756,91","0,00",638,"221,13","0,00",12.004,"30,00","0,00"
"Jo, 13 iulie 2017",49,4,26,32,27,43,REPORT,"235.013,04","6.744.468,15",1,"78.337,68","0,00",148,"529,30","0,00",3.537,"30,00","0,00"
"Du, 9 iulie 2017",26,30,8,24,35,23,REPORT,"405.428,40","6.509.455,11",2,"67.571,40","0,00",417,"324,08","0,00",9.497,"30,00","0,00"
"Jo, 6 iulie 2017",15,17,21,49,30,25,REPORT,"207.575,71","6.104.026,71",6,"11.531,98","0,00",258,"268,18","0,00",4.878,"30,00","0,00"
"Du, 2 iulie 2017",11,32,28,37,36,48,REPORT,"414.902,01","5.896.451,00",1,"138.300,67","0,00",270,"512,22","0,00",6.432,"30,00","0,00"
"Jo, 29 iunie 2017",33,31,28,4,5,26,REPORT,"200.226,81","5.481.548,99",7,"9.534,61","0,00",209,"319,34","0,00",4.488,"30,00","0,00"
"Du, 25 iunie 2017",9,28,12,46,8,19,REPORT,"314.819,71","4.884.610,47",15,"6.995,99","0,00",600,"174,89","0,00",9.704,"30,00","0,00"
"Jo, 22 iunie 2017",2,40,22,44,42,30,REPORT,"222.055,48","4.569.790,76",7,"10.574,07","0,00",183,"404,47","0,00",3.5,"30,00","0,00"
"Du, 18 iunie 2017",38,3,48,30,1,12,REPORT,"458.296,84","4.347.735,28",5,"30.553,12","0,00",365,"418,53","0,00",7.195,"30,00","0,00"
"Jo, 15 iunie 2017",20,15,4,39,46,3,REPORT,"222.086,30","3.889.438,44",2,"37.014,38","0,00",187,"395,87","0,00",3.878,"30,00","0,00"
"Du, 11 iunie 2017",8,49,38,17,33,28,REPORT,"397.478,59","3.667.352,14",14,"9.463,77","0,00",513,"258,27","0,00",9.564,"30,00","0,00"
"Jo, 8 iunie 2017",7,6,16,26,18,9,REPORT,"147.472,41","3.269.873,55",12,"4.096,45","0,00",381,"129,02","0,00",5.654,"30,00","0,00"
"Du, 4 iunie 2017",39,19,14,12,26,16,REPORT,"356.594,54","3.122.401,14",4,"29.716,21","0,00",488,"243,57","0,00",8.605,"30,00","0,00"
"Jo, 1 iunie 2017",48,30,19,38,36,29,REPORT,"212.056,12","2.765.806,60",1,"70.685,37","0,00",136,"519,74","0,00",3.036,"30,00","0,00"
"Du, 28 mai 2017",11,13,2,43,12,39,REPORT,"400.564,94","2.553.750,48",3,"44.507,21","0,00",363,"367,82","0,00",7.951,"30,00","0,00"
"Jo, 25 mai 2017",4,20,15,2,10,19,REPORT,"175.427,42","2.153.185,54",8,"7.309,47","0,00",316,"185,05","0,00",5.386,"30,00","0,00"
"Du, 21 mai 2017",17,32,39,48,43,41,REPORT,"449.844,62","1.977.758,12",5,"29.989,64","0,00",227,"660,56","0,00",5.083,"30,00","0,00"
"Jo, 18 mai 2017",47,13,6,3,32,17,REPORT,"172.307,23","1.527.913,50",10,"5.743,57","0,00",276,"208,10","0,00",4.846,"30,00","0,00"
"Du, 14 mai 2017",1,38,25,2,11,6,REPORT,"355.606,27","1.355.606,27",13,"9.118,10","0,00",488,"242,90","0,00",8.864,"30,00","0,00"
"Jo, 11 mai 2017",1,32,34,49,24,17,1,"10.286.597,39","0,00",6,"17.461,06","0,00",223,"469,80","0,00",4.142,"30,00","0,00"
"Du, 7 mai 2017",18,13,21,4,16,11,REPORT,"348.247,80","10.077.064,67",23,"7.570,60","0,00",825,"211,05","0,00",13.459,"30,00","0,00"
"Jo, 4 mai 2017",13,25,22,15,34,11,REPORT,"160.529,52","9.728.816,87",6,"13.377,46","0,00",294,"273,00","0,00",5.758,"30,00","0,00"
"Du, 30 aprilie 2017",5,40,8,12,38,16,REPORT,"434.302,20","9.568.287,35",10,"21.715,11","0,00",651,"333,56","0,00",11.627,"30,00","0,00"
"Jo, 27 aprilie 2017",49,2,19,44,9,35,REPORT,"189.356,16","9.133.985,15",5,"18.935,61","0,00",308,"307,39","0,00",5.056,"30,00","0,00"
"Du, 23 aprilie 2017",13,45,42,14,48,41,REPORT,"547.633,00","8.944.628,99",2,"91.272,16","0,00",276,"661,39","0,00",6.589,"30,00","0,00"
"Jo, 20 aprilie 2017",1,21,18,6,31,3,REPORT,"191.757,16","8.396.995,99",6,"10.653,17","0,00",262,"243,96","0,00",4.677,"30,00","0,00"
"Du, 16 aprilie 2017",8,30,37,11,21,45,REPORT,"0,00","7.321.629,23",9,"24.178,35","0,00",694,"313,55","0,00",12.558,"30,00","0,00"
"Du, 9 aprilie 2017",41,32,21,5,4,16,REPORT,"500.677,05","6.668.813,63",4,"41.723,08","0,00",475,"351,35","0,00",9.02,"30,00","0,00"
"Jo, 6 aprilie 2017",22,20,2,36,1,8,REPORT,"211.072,89","6.168.136,58",2,"35.178,81","0,00",240,"293,15","0,00",4.584,"30,00","0,00"
"Du, 2 aprilie 2017",48,21,12,9,5,46,REPORT,"426.885,55","5.957.063,69",15,"9.486,34","0,00",616,"230,99","0,00",10.273,"30,00","0,00"
"Jo, 30 martie 2017",23,31,20,19,38,7,REPORT,"201.044,30","5.530.178,14",5,"13.402,95","0,00",287,"233,50","0,00",4.823,"30,00","0,00"
"Du, 26 martie 2017",1,29,41,39,18,46,REPORT,"508.797,07","5.329.133,84",4,"42.399,75","0,00",263,"644,86","0,00",5.979,"30,00","0,00"
"Jo, 23 martie 2017",11,35,39,4,2,1,REPORT,"227.882,44","4.820.336,77",3,"25.320,27","0,00",183,"415,08","0,00",4.015,"30,00","0,00"
"Du, 19 martie 2017",40,45,38,8,11,34,REPORT,"514.975,82","4.592.454,33",4,"42.914,65","0,00",369,"465,19","0,00",7.431,"30,00","0,00"
"Jo, 16 martie 2017",48,30,46,13,21,29,REPORT,"241.998,19","4.077.478,51",2,"40.333,03","0,00",192,"420,13","0,00",4.381,"30,00","0,00"
"Du, 12 martie 2017",20,39,3,5,49,41,REPORT,"489.411,36","3.835.480,32",4,"40.784,28","0,00",316,"516,25","0,00",7.462,"30,00","0,00"
"Jo, 9 martie 2017",29,43,33,10,27,36,REPORT,"198.529,48","3.346.068,96",3,"22.058,83","0,00",220,"300,80","0,00",4.407,"30,00","0,00"
"Du, 5 martie 2017",43,14,49,23,3,6,REPORT,"329.628,00","2.692.246,48",7,"23.544,85","0,00",512,"321,90","0,00",8.908,"30,00","0,00"
